Год;1;2;3;4;5;6;7;8
2020;0;0;1;1;1;0;0;0
2012;0;0;0;0;1;0;0;0
2008;1;0;0;0;1;0;0;0
2004;1;0;2;0;0;0;0;0
2000;1;1;0;0;3;0;0;0
1996;1;0;1;1;2;0;0;0
1992;1;2;1;0;1;0;0;0
