Год;1;2;3;4;5;6;7;8
2020;1;0;0;1;0;0;0;0
2016;0;0;0;0;1;0;0;0
2008;0;0;1;0;0;0;0;0
2000;0;0;0;0;1;0;0;0
1996;0;1;1;0;1;0;0;0
1992;1;0;0;0;2;0;0;0
